NI (c) Historical Data Viewer v2.0                             
Created: 04.12.2019 13:35:16.797 W. Europe Standard Time
Number of rows: 802
Interpolation interval: 1 seconds

Row;Time;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Indikator 2;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Leitfähigkeit;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Temperatur
1;13:20:47.031;1;12.15;45.1587
2;13:20:48.031;1;12.15;45.1599
3;13:20:49.031;1;12.15;45.1599
4;13:20:50.031;1;12.15;45.1599
5;13:20:51.031;1;12.15;45.1599
6;13:20:52.031;1;12.15;45.1599
7;13:20:53.031;1;12.15;45.1599
8;13:20:54.031;1;12.15;45.1599
9;13:20:55.031;1;12.15;45.1599
10;13:20:56.031;1;12.15;45.1599
11;13:20:57.031;1;12.15;45.1599
12;13:20:58.031;1;12.15;45.1599
13;13:20:59.031;1;12.15;45.1599
14;13:21:00.031;1;12.15;45.1599
15;13:21:01.031;1;12.15;45.1599
16;13:21:02.031;1;12.15;45.1599
17;13:21:03.031;1;12.15;45.1599
18;13:21:04.031;1;12.15;45.1599
19;13:21:05.031;1;12.15;45.1599
20;13:21:06.031;1;12.15;45.1599
21;13:21:07.031;1;12.15;45.1599
22;13:21:08.031;1;12.15;45.1599
23;13:21:09.031;1;12.15;45.1599
24;13:21:10.031;1;12.15;45.1599
25;13:21:11.031;1;12.0441;45.1599
26;13:21:12.031;44.2033;12.1093;45.1599
27;13:21:13.031;50;12.1199;45.1599
28;13:21:14.031;50;12.1023;45.1512
29;13:21:15.031;50;12.0647;45.15
30;13:21:16.031;50;12.06;45.15
31;13:21:17.031;50;12.0071;45.1413
32;13:21:18.031;50;11.9647;45.1401
33;13:21:19.031;50;11.96;45.1401
34;13:21:20.031;50;11.9071;45.1401
35;13:21:21.031;50;11.8383;45.1401
36;13:21:22.031;50;11.83;45.1401
37;13:21:23.031;50;11.7859;45.1313
38;13:21:24.031;50;11.7271;45.1301
39;13:21:25.031;50;11.72;45.1301
40;13:21:26.031;50;11.6583;45.1301
41;13:21:27.031;50;11.5971;45.1301
42;13:21:28.031;50;11.59;45.1301
43;13:21:29.031;50;11.5548;45.1301
44;13:21:30.031;50;11.4971;45.1301
45;13:21:31.031;50;11.49;45.1301
46;13:21:32.031;50;11.4547;45.1301
47;13:21:33.031;50;11.4147;45.1388
48;13:21:34.031;50;11.41;45.14
49;13:21:35.031;50;11.3659;45.14
50;13:21:36.031;50;11.3247;45.14
51;13:21:37.031;50;11.32;45.14
52;13:21:38.031;50;11.2759;45.14
53;13:21:39.031;50;11.2347;45.1487
54;13:21:40.031;50;11.23;45.1499
55;13:21:41.031;50;11.1859;45.1499
56;13:21:42.031;50;11.1271;45.1499
57;13:21:43.031;50;11.12;45.1499
58;13:21:44.031;50;11.0847;45.1499
59;13:21:45.031;50;11.0094;45.1587
60;13:21:46.031;50;11;45.1599
61;13:21:47.031;50;10.9118;45.1599
62;13:21:48.031;50;10.794;45.1688
63;13:21:49.031;50;10.78;45.17
64;13:21:50.031;50;10.7006;45.17
65;13:21:51.031;50;10.6018;45.17
66;13:21:52.031;50;10.59;45.17
67;13:21:53.031;50;10.5018;45.1787
68;13:21:54.031;50;10.4018;45.1887
69;13:21:55.031;50;10.39;45.1899
70;13:21:56.031;50;10.3371;45.1899
71;13:21:57.031;50;10.2683;45.1899
72;13:21:58.031;50;10.26;45.1899
73;13:21:59.031;50;10.1983;45.1988
74;13:22:00.031;50;10.1283;45.2
75;13:22:01.031;50;10.12;45.2
76;13:22:02.031;50;10.0671;45.2087
77;13:22:03.031;50;9.98943;45.2099
78;13:22:04.031;50;9.98;45.2099
79;13:22:05.031;50;9.92713;45.2187
80;13:22:06.031;50;9.85826;45.2199
81;13:22:07.031;50;9.85;45.2199
82;13:22:08.031;50;9.79707;45.2287
83;13:22:09.031;50;9.74589;45.2388
84;13:22:10.031;50;9.74;45.24
85;13:22:11.031;50;9.68707;45.24
86;13:22:12.031;50;9.63598;45.2487
87;13:22:13.031;50;9.6301;45.2499
88;13:22:14.031;50;9.57709;45.2588
89;13:22:15.031;50;9.53472;45.26
90;13:22:16.031;50;9.53;45.26
91;13:22:17.031;50;9.47707;45.2688
92;13:22:18.031;50;9.42589;45.2788
93;13:22:19.031;50;9.42;45.28
94;13:22:20.031;50;9.37589;45.28
95;13:22:21.031;50;9.33484;45.28
96;13:22:22.031;50;9.3301;45.28
97;13:22:23.031;50;9.28591;45.2888
98;13:22:24.031;50;9.23598;45.2988
99;13:22:25.031;50;9.2301;45.3
100;13:22:26.031;50;9.19473;45.3
101;13:22:27.031;50;9.14598;45.3
102;13:22:28.031;50;9.1401;45.3
103;13:22:29.031;50;9.10473;45.3088
104;13:22:30.031;50;9.0648;45.31
105;13:22:31.031;50;9.0601;45.31
106;13:22:32.031;50;9.02473;45.31
107;13:22:33.031;50;8.9848;45.31
108;13:22:34.031;50;8.9801;45.31
109;13:22:35.031;50;8.94473;45.3188
110;13:22:36.031;50;8.9048;45.32
111;13:22:37.031;50;8.9001;45.32
112;13:22:38.031;50;8.86477;45.3288
113;13:22:39.031;50;8.82484;45.33
114;13:22:40.031;50;8.8201;45.33
115;13:22:41.031;50;8.78473;45.33
116;13:22:42.031;50;8.75362;45.3388
117;13:22:43.031;50;8.7501;45.34
118;13:22:44.031;50;8.71482;45.34
119;13:22:45.031;50;8.68355;45.34
120;13:22:46.031;50;8.68;45.34
121;13:22:47.031;50;8.64472;45.34
122;13:22:48.031;50;8.61354;45.3488
123;13:22:49.031;50;8.61;45.35
124;13:22:50.031;50;8.57472;45.35
125;13:22:51.031;50;8.54354;45.35
126;13:22:52.031;50;8.54;45.35
127;13:22:53.031;50;8.51356;45.35
128;13:22:54.031;50;8.48357;45.35
129;13:22:55.031;50;8.48;45.35
130;13:22:56.031;50;8.45357;45.35
131;13:22:57.031;50;8.42357;45.3588
132;13:22:58.031;50;8.42;45.36
133;13:22:59.031;50;8.39354;45.3513
134;13:23:00.031;50;8.36354;45.3501
135;13:23:01.031;50;8.36;45.3501
136;13:23:02.031;50;8.33354;45.3588
137;13:23:03.031;50;8.30354;45.36
138;13:23:04.031;50;8.3;45.36
139;13:23:05.031;50;8.27354;45.36
140;13:23:06.031;50;8.24354;45.36
141;13:23:07.031;50;8.24;45.36
142;13:23:08.031;50;8.22238;45.36
143;13:23:09.031;50;8.19357;45.36
144;13:23:10.031;50;8.19;45.36
145;13:23:11.031;50;8.16357;45.36
146;13:23:12.031;50;8.14238;45.36
147;13:23:13.031;50;8.14;45.36
148;13:23:14.031;50;8.11357;45.36
149;13:23:15.031;50;8.09236;45.36
150;13:23:16.031;50;8.09;45.36
151;13:23:17.031;50;8.06354;45.36
152;13:23:18.031;50;8.04236;45.36
153;13:23:19.031;50;8.04;45.36
154;13:23:20.031;50;8.01354;45.36
155;13:23:21.031;50;7.99236;45.36
156;13:23:22.031;50;7.99;45.36
157;13:23:23.031;50;7.96354;45.36
158;13:23:24.031;50;7.94238;45.36
159;13:23:25.031;50;7.94;45.36
160;13:23:26.031;50;7.92238;45.36
161;13:23:27.031;50;7.89357;45.36
162;13:23:28.031;50;7.89;45.36
163;13:23:29.031;50;7.87238;45.36
164;13:23:30.031;50;7.85238;45.36
165;13:23:31.031;50;7.85;45.36
166;13:23:32.031;50;7.83238;45.36
167;13:23:33.031;50;7.81236;45.36
168;13:23:34.031;50;7.81;45.36
169;13:23:35.031;50;7.79236;45.36
170;13:23:36.031;50;7.77236;45.36
171;13:23:37.031;50;7.77;45.36
172;13:23:38.031;50;7.75236;45.36
173;13:23:39.031;50;7.72354;45.36
174;13:23:40.031;50;7.72;45.36
175;13:23:41.031;50;7.70238;45.36
176;13:23:42.031;50;7.68238;45.36
177;13:23:43.031;50;7.68;45.36
178;13:23:44.031;50;7.66238;45.36
179;13:23:45.031;50;7.65119;45.36
180;13:23:46.031;50;7.65;45.36
181;13:23:47.031;50;7.63238;45.36
182;13:23:48.031;50;7.61238;45.36
183;13:23:49.031;50;7.61;45.36
184;13:23:50.031;50;7.59236;45.36
185;13:23:51.031;50;7.57236;45.36
186;13:23:52.031;50;7.57;45.36
187;13:23:53.031;50;7.55236;45.36
188;13:23:54.031;50;7.53236;45.36
189;13:23:55.031;50;7.53;45.36
190;13:23:56.031;50;7.52119;45.36
191;13:23:57.031;50;7.50238;45.3513
192;13:23:58.031;50;7.5;45.3501
193;13:23:59.031;50;7.48238;45.3588
194;13:24:00.031;50;7.46238;45.3513
195;13:24:01.031;50;7.46;45.3501
196;13:24:02.031;50;7.45119;45.3501
197;13:24:03.031;50;7.43238;45.3501
198;13:24:04.031;50;7.43;45.3501
199;13:24:05.031;50;7.41238;45.3501
200;13:24:06.031;50;7.40119;45.3501
201;13:24:07.031;50;7.4;45.3501
202;13:24:08.031;50;7.38236;45.3501
203;13:24:09.031;50;7.37118;45.3501
204;13:24:10.031;50;7.37;45.3501
205;13:24:11.031;50;7.35238;45.3501
206;13:24:12.031;50;7.33238;45.3501
207;13:24:13.031;50;7.33;45.3501
208;13:24:14.031;50;7.32119;45.3501
209;13:24:15.031;50;7.30238;45.3501
210;13:24:16.031;50;7.3;45.3501
211;13:24:17.031;50;7.29119;45.3501
212;13:24:18.031;50;7.27238;45.3501
213;13:24:19.031;50;7.27;45.3501
214;13:24:20.031;50;7.26119;45.3501
215;13:24:21.031;50;7.24238;45.3501
216;13:24:22.031;50;7.24;45.3501
217;13:24:23.031;50;7.23119;45.3501
218;13:24:24.031;50;7.21238;45.3501
219;13:24:25.031;50;7.21;45.3501
220;13:24:26.031;50;7.20118;45.3413
221;13:24:27.031;50;7.19119;45.3401
222;13:24:28.031;50;7.19;45.3401
223;13:24:29.031;50;7.17238;45.3401
224;13:24:30.031;50;7.15238;45.3401
225;13:24:31.031;50;7.15;45.3401
226;13:24:32.031;50;7.13238;45.3401
227;13:24:33.031;50;7.12119;45.3401
228;13:24:34.031;50;7.12;45.3401
229;13:24:35.031;50;7.10238;45.3401
230;13:24:36.031;50;7.08238;45.3401
231;13:24:37.031;50;7.08;45.3401
232;13:24:38.031;50;7.06238;45.3401
233;13:24:39.031;50;7.05119;45.3401
