NI (c) Historical Data Viewer v2.0                             
Created: 04.12.2019 14:41:40.020 W. Europe Standard Time
Number of rows: 781
Interpolation interval: 1 seconds

Row;Time;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Indikator 2;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Leitfähigkeit;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Temperatur
160;14:26:42.549;1;7.87;63.39
161;14:26:43.549;1;7.86211;63.39
162;14:26:44.549;1;7.84211;63.3861
163;14:26:45.549;1;7.83;63.3801
164;14:26:46.549;1;7.82605;63.384
165;14:26:47.549;1;7.81209;63.3861
166;14:26:48.549;1;7.8;63.3801
167;14:26:49.549;1;7.79605;63.3801
168;14:26:50.549;1;7.78211;63.3801
169;14:26:51.549;1;7.77;63.3801
170;14:26:52.549;1;7.76605;63.3801
171;14:26:53.549;1;7.75211;63.3801
172;14:26:54.549;1;7.74;63.3801
173;14:26:55.549;1;7.73605;63.3801
174;14:26:56.549;1;7.72211;63.3801
175;14:26:57.549;1;7.71;63.3801
176;14:26:58.549;1;7.70605;63.3801
177;14:26:59.549;1;7.69605;63.3801
178;14:27:00.549;1;7.69;63.3801
179;14:27:01.549;1;7.68211;63.3801
180;14:27:02.549;1;7.66605;63.3801
181;14:27:03.549;1;7.66;63.3801
182;14:27:04.549;1;7.65604;63.3761
183;14:27:05.549;1;7.64604;63.37
184;14:27:06.549;1;7.64;63.37
185;14:27:07.549;1;7.63209;63.37
186;14:27:08.549;1;7.61604;63.37
187;14:27:09.549;1;7.61;63.37
188;14:27:10.549;1;7.60604;63.37
189;14:27:11.549;1;7.59604;63.3661
190;14:27:12.549;1;7.59;63.3601
191;14:27:13.549;1;7.58604;63.3601
192;14:27:14.549;1;7.57605;63.3601
193;14:27:15.549;1;7.57;63.3601
194;14:27:16.549;1;7.56605;63.3601
195;14:27:17.549;1;7.55211;63.3601
196;14:27:18.549;1;7.54;63.3601
197;14:27:19.549;1;7.53605;63.3601
198;14:27:20.549;1;7.52605;63.3601
199;14:27:21.549;1;7.52;63.3601
200;14:27:22.549;1;7.51604;63.3601
201;14:27:23.549;1;7.50604;63.3601
202;14:27:24.549;1;7.5;63.3601
203;14:27:25.549;1;7.49604;63.3601
204;14:27:26.549;1;7.48604;63.3601
205;14:27:27.549;1;7.48;63.3601
206;14:27:28.549;1;7.47604;63.3601
207;14:27:29.549;1;7.46604;63.3601
208;14:27:30.549;1;7.46;63.3601
209;14:27:31.549;1;7.45604;63.3601
210;14:27:32.549;1;7.44604;63.3561
211;14:27:33.549;1;7.44;63.3501
212;14:27:34.549;1;7.43604;63.3501
213;14:27:35.549;1;7.42604;63.3501
214;14:27:36.549;1;7.42;63.3501
215;14:27:37.549;1;7.41605;63.3501
216;14:27:38.549;1;7.40605;63.3501
217;14:27:39.549;1;7.4;63.3501
218;14:27:40.549;1;7.39604;63.3501
219;14:27:41.549;1;7.38604;63.3501
220;14:27:42.549;1;7.38;63.3501
221;14:27:43.549;1;7.38;63.3501
222;14:27:44.549;1;7.37604;63.3501
223;14:27:45.549;1;7.37;63.3501
224;14:27:46.549;1;7.36604;63.3501
225;14:27:47.549;1;7.35604;63.3501
226;14:27:48.549;1;7.35;63.3501
227;14:27:49.549;1;7.34604;63.3501
228;14:27:50.549;1;7.33604;63.3501
229;14:27:51.549;1;7.33;63.3501
230;14:27:52.549;1;7.33;63.3501
231;14:27:53.549;1;7.32604;63.3501
232;14:27:54.549;1;7.32;63.3501
233;14:27:55.549;1;7.31604;63.3501
234;14:27:56.549;1;7.30604;63.3501
235;14:27:57.549;1;7.3;63.3501
236;14:27:58.549;1;7.29603;63.3461
237;14:27:59.549;1;7.29;63.3401
238;14:28:00.549;1;7.29;63.3401
239;14:28:01.549;1;7.28603;63.344
240;14:28:02.549;1;7.27603;63.3461
241;14:28:03.549;1;7.27;63.3401
242;14:28:04.549;1;7.26603;63.344
243;14:28:05.549;1;7.25604;63.3461
244;14:28:06.549;1;7.25;63.3401
245;14:28:07.549;1;7.25;63.3401
246;14:28:08.549;1;7.24604;63.3401
247;14:28:09.549;1;7.24;63.34
248;14:28:10.549;1;7.23608;63.34
249;14:28:11.549;1;7.22611;63.34
250;14:28:12.549;1;7.22;63.34
251;14:28:13.549;1;7.22;63.34
252;14:28:14.549;1;7.21607;63.336
253;14:28:15.549;1;7.2101;63.33
254;14:28:16.549;1;7.20613;63.33
255;14:28:17.549;1;7.2001;63.33
256;14:28:18.549;1;7.2001;63.33
257;14:28:19.549;1;7.19613;63.33
258;14:28:20.549;1;7.1861;63.33
259;14:28:21.549;1;7.18;63.33
260;14:28:22.549;1;7.18;63.33
261;14:28:23.549;1;7.17607;63.33
262;14:28:24.549;1;7.1701;63.33
263;14:28:25.549;1;7.16613;63.3339
264;14:28:26.549;1;7.1601;63.336
265;14:28:27.549;1;7.1601;63.33
266;14:28:28.549;1;7.15613;63.33
267;14:28:29.549;1;7.1501;63.33
268;14:28:30.549;1;7.1501;63.33
269;14:28:31.549;1;7.14609;63.33
270;14:28:32.549;1;7.13607;63.33
271;14:28:33.549;1;7.1301;63.33
272;14:28:34.549;1;7.12613;63.33
273;14:28:35.549;1;7.1201;63.33
274;14:28:36.549;1;7.1201;63.33
275;14:28:37.549;1;7.11613;63.33
276;14:28:38.549;1;7.1101;63.33
277;14:28:39.549;1;7.1101;63.33
278;14:28:40.549;1;7.1061;63.33
279;14:28:41.549;1;7.09607;63.33
280;14:28:42.549;1;7.0901;63.33
281;14:28:43.549;1;7.0901;63.326
282;14:28:44.549;1;7.08613;63.32
283;14:28:45.549;1;7.0801;63.32
284;14:28:46.549;1;7.0801;63.32
285;14:28:47.549;1;7.07613;63.32
286;14:28:48.549;1;7.0701;63.32
287;14:28:49.549;1;7.0701;63.32
288;14:28:50.549;1;7.06609;63.32
289;14:28:51.549;1;7.06;63.32
290;14:28:52.549;1;7.06;63.32
291;14:28:53.549;1;7.05606;63.316
292;14:28:54.549;1;7.0501;63.31
293;14:28:55.549;1;7.04612;63.31
294;14:28:56.549;1;7.0401;63.31
295;14:28:57.549;1;7.0401;63.31
296;14:28:58.549;1;7.03612;63.31
297;14:28:59.549;1;7.0301;63.31
298;14:29:00.549;1;7.0301;63.31
299;14:29:01.549;1;7.02609;63.31
300;14:29:02.549;1;7.02;63.31
301;14:29:03.549;1;7.02;63.31
302;14:29:04.549;1;7.01607;63.31
303;14:29:05.549;1;7.0101;63.31
304;14:29:06.549;1;7.0101;63.31
305;14:29:07.549;1;7.00612;63.31
306;14:29:08.549;1;7.0001;63.31
307;14:29:09.549;1;7.0001;63.31
308;14:29:10.549;1;6.99612;63.31
309;14:29:11.549;1;6.9901;63.31
310;14:29:12.549;1;6.9901;63.31
311;14:29:13.549;1;6.98612;63.306
312;14:29:14.549;1;6.9801;63.3039
313;14:29:15.549;1;6.9801;63.3099
314;14:29:16.549;1;6.97609;63.3099
315;14:29:17.549;1;6.97;63.3099
316;14:29:18.549;1;6.97;63.3099
317;14:29:19.549;1;6.96606;63.3099
318;14:29:20.549;1;6.9601;63.3099
319;14:29:21.549;1;6.9601;63.3099
320;14:29:22.549;1;6.95612;63.3099
321;14:29:23.549;1;6.9501;63.3099
322;14:29:24.549;1;6.9501;63.3099
323;14:29:25.549;1;6.9501;63.3099
324;14:29:26.549;1;6.94611;63.3099
325;14:29:27.549;1;6.9401;63.3099
326;14:29:28.549;1;6.9401;63.306
327;14:29:29.549;1;6.93607;63.3
328;14:29:30.549;1;6.93;63.3
329;14:29:31.549;1;6.93;63.3
330;14:29:32.549;1;6.92606;63.3
331;14:29:33.549;1;6.9201;63.3
332;14:29:34.549;1;6.9201;63.3
333;14:29:35.549;1;6.9201;63.3
334;14:29:36.549;1;6.9201;63.3
335;14:29:37.549;1;6.91612;63.3
336;14:29:38.549;1;6.9101;63.3
337;14:29:39.549;1;6.9101;63.3
338;14:29:40.549;1;6.90612;63.3
339;14:29:41.549;1;6.9001;63.3
340;14:29:42.549;1;6.9001;63.3
341;14:29:43.549;1;6.89607;63.3
342;14:29:44.549;1;6.89;63.3
343;14:29:45.549;1;6.89;63.3
344;14:29:46.549;1;6.89;63.3
345;14:29:47.549;1;6.88605;63.3
346;14:29:48.549;1;6.8801;63.3
347;14:29:49.549;1;6.88006;63.3
348;14:29:50.549;1;6.87605;63.3
349;14:29:51.549;1;6.8701;63.3
350;14:29:52.549;1;6.8701;63.3
351;14:29:53.549;1;6.8701;63.3
352;14:29:54.549;1;6.8701;63.3
353;14:29:55.549;1;6.86611;63.3
354;14:29:56.549;1;6.8601;63.3
355;14:29:57.549;1;6.8601;63.3
356;14:29:58.549;1;6.8601;63.3
357;14:29:59.549;1;6.85606;63.3
358;14:30:00.549;1;6.85;63.3
359;14:30:01.549;1;6.85;63.3
360;14:30:02.549;1;6.84605;63.3
361;14:30:03.549;1;6.8401;63.3
362;14:30:04.549;1;6.8401;63.3
363;14:30:05.549;1;6.8401;63.3
364;14:30:06.549;1;6.8401;63.3
365;14:30:07.549;1;6.83611;63.3
366;14:30:08.549;1;6.8301;63.3
367;14:30:09.549;1;6.8301;63.3
368;14:30:10.549;1;6.8301;63.296
369;14:30:11.549;1;6.82611;63.2901
370;14:30:12.549;1;6.8201;63.2901
371;14:30:13.549;1;6.8201;63.2901
372;14:30:14.549;1;6.8201;63.2901
373;14:30:15.549;1;6.8201;63.2901
374;14:30:16.549;1;6.81607;63.294
375;14:30:17.549;1;6.81;63.296
376;14:30:18.549;1;6.81;63.2901
377;14:30:19.549;1;6.81;63.2941
378;14:30:20.549;1;6.80604;63.3
379;14:30:21.549;1;6.8001;63.3
380;14:30:22.549;1;6.8001;63.3
381;14:30:23.549;1;6.7961;63.3
382;14:30:24.549;1;6.7901;63.3
383;14:30:25.549;1;6.7901;63.296
384;14:30:26.549;1;6.7901;63.2901
385;14:30:27.549;1;6.7901;63.2901
386;14:30:28.549;1;6.7901;63.2901
387;14:30:29.549;1;6.7861;63.2901
388;14:30:30.549;1;6.7801;63.2901
389;14:30:31.549;1;6.7801;63.2901
390;14:30:32.549;1;6.7801;63.2901
391;14:30:33.549;1;6.7801;63.2901
392;14:30:34.549;1;6.77606;63.2901
393;14:30:35.549;1;6.77;63.2901
394;14:30:36.549;1;6.77;63.2901
395;14:30:37.549;1;6.77;63.2901
396;14:30:38.549;1;6.76604;63.2901
397;14:30:39.549;1;6.7601;63.2901
398;14:30:40.549;1;6.7601;63.2901
399;14:30:41.549;1;6.7601;63.2901
400;14:30:42.549;1;6.7601;63.2901
401;14:30:43.549;1;6.7601;63.2901
402;14:30:44.549;1;6.7561;63.2901
403;14:30:45.549;1;6.7501;63.2901
404;14:30:46.549;1;6.7501;63.2901
405;14:30:47.549;1;6.7501;63.2901
406;14:30:48.549;1;6.7501;63.2901
407;14:30:49.549;1;6.7501;63.2901
408;14:30:50.549;1;6.7461;63.2901
409;14:30:51.549;1;6.7401;63.2901
410;14:30:52.549;1;6.7401;63.2901
411;14:30:53.549;1;6.7401;63.2861
412;14:30:54.549;1;6.7401;63.2801
413;14:30:55.549;1;6.73609;63.2841
414;14:30:56.549;1;6.7301;63.29
415;14:30:57.549;1;6.7301;63.29
416;14:30:58.549;1;6.7301;63.29
417;14:30:59.549;1;6.7301;63.29
418;14:31:00.549;1;6.7301;63.29
419;14:31:01.549;1;6.72606;63.29
420;14:31:02.549;1;6.72;63.29
421;14:31:03.549;1;6.72;63.29
422;14:31:04.549;1;6.72;63.29
423;14:31:05.549;1;6.71604;63.29
424;14:31:06.549;1;6.7101;63.29
425;14:31:07.549;1;6.7101;63.29
426;14:31:08.549;1;6.7101;63.29
427;14:31:09.549;1;6.7101;63.29
428;14:31:10.549;1;6.7101;63.29
429;14:31:11.549;1;6.70609;63.29
430;14:31:12.549;1;6.7001;63.29
431;14:31:13.549;1;6.7001;63.29
432;14:31:14.549;1;6.7001;63.29
433;14:31:15.549;1;6.7001;63.29
434;14:31:16.549;1;6.7001;63.29
435;14:31:17.549;1;6.69609;63.29
436;14:31:18.549;1;6.6901;63.29
437;14:31:19.549;1;6.6901;63.29
438;14:31:20.549;1;6.6901;63.29
439;14:31:21.549;1;6.6901;63.29
440;14:31:22.549;1;6.6901;63.294
441;14:31:23.549;1;6.68605;63.2959
442;14:31:24.549;1;6.68;63.29
443;14:31:25.549;1;6.68;63.29
444;14:31:26.549;1;6.68;63.29
445;14:31:27.549;1;6.68;63.29
446;14:31:28.549;1;6.68;63.29
447;14:31:29.549;1;6.68;63.29
448;14:31:30.549;1;6.68;63.29
449;14:31:31.549;1;6.67603;63.29
450;14:31:32.549;1;6.6701;63.29
451;14:31:33.549;1;6.6701;63.29
452;14:31:34.549;1;6.6701;63.29
453;14:31:35.549;1;6.6701;63.29
454;14:31:36.549;1;6.6701;63.29
455;14:31:37.549;1;6.66609;63.29
456;14:31:38.549;1;6.6601;63.29
457;14:31:39.549;1;6.6601;63.29
458;14:31:40.549;1;6.6601;63.29
459;14:31:41.549;1;6.6601;63.29
460;14:31:42.549;1;6.6601;63.29
461;14:31:43.549;1;6.6601;63.29
462;14:31:44.549;1;6.65608;63.29
463;14:31:45.549;1;6.6501;63.29
464;14:31:46.549;1;6.6501;63.29
465;14:31:47.549;1;6.6501;63.29
466;14:31:48.549;1;6.6501;63.29
467;14:31:49.549;1;6.6501;63.294
468;14:31:50.549;1;6.64604;63.2959
469;14:31:51.549;1;6.64;63.29
470;14:31:52.549;1;6.64;63.29
471;14:31:53.549;1;6.64;63.29
472;14:31:54.549;1;6.64;63.29
473;14:31:55.549;1;6.64;63.29
474;14:31:56.549;1;6.64;63.29
475;14:31:57.549;1;6.64;63.29
476;14:31:58.549;1;6.64;63.29
477;14:31:59.549;1;6.63603;63.29
478;14:32:00.549;1;6.6301;63.29
479;14:32:01.549;1;6.6301;63.29
480;14:32:02.549;1;6.6301;63.29
481;14:32:03.549;1;6.6301;63.29
482;14:32:04.549;1;6.6301;63.29
483;14:32:05.549;1;6.6301;63.29
484;14:32:06.549;1;6.6301;63.29
485;14:32:07.549;1;6.62608;63.29
486;14:32:08.549;1;6.6201;63.29
487;14:32:09.549;1;6.6201;63.29
488;14:32:10.549;1;6.6201;63.29
489;14:32:11.549;1;6.6201;63.29
490;14:32:12.549;1;6.6201;63.29
491;14:32:13.549;1;6.6201;63.29
492;14:32:14.549;1;6.6161;63.29
493;14:32:15.549;1;6.6101;63.29
494;14:32:16.549;1;6.6101;63.29
495;14:32:17.549;1;6.6101;63.29
496;14:32:18.549;1;6.6101;63.29
497;14:32:19.549;1;6.6101;63.29
498;14:32:20.549;1;6.6101;63.29
499;14:32:21.549;1;6.6101;63.29
500;14:32:22.549;1;6.60605;63.29
501;14:32:23.549;1;6.6;63.29
502;14:32:24.549;1;6.6;63.29
503;14:32:25.549;1;6.6;63.29
504;14:32:26.549;1;6.6;63.29
505;14:32:27.549;1;6.6;63.29
506;14:32:28.549;1;6.6;63.29
507;14:32:29.549;1;6.6;63.29
508;14:32:30.549;1;6.6;63.29
509;14:32:31.549;1;6.59604;63.29
510;14:32:32.549;1;6.5901;63.29
511;14:32:33.549;1;6.5901;63.29
512;14:32:34.549;1;6.5901;63.29
513;14:32:35.549;1;6.5901;63.29
514;14:32:36.549;1;6.5901;63.29
515;14:32:37.549;1;6.5901;63.286
516;14:32:38.549;1;6.5901;63.2841
517;14:32:39.549;1;6.5901;63.29
518;14:32:40.549;1;6.58609;63.29
519;14:32:41.549;1;6.5801;63.29
520;14:32:42.549;1;6.5801;63.29
521;14:32:43.549;1;6.5801;63.29
522;14:32:44.549;1;6.5801;63.29
523;14:32:45.549;1;6.5801;63.29
524;14:32:46.549;1;6.5801;63.29
525;14:32:47.549;1;6.5801;63.29
526;14:32:48.549;1;6.5801;63.29
527;14:32:49.549;1;6.57609;63.29
528;14:32:50.549;1;6.5701;63.29
529;14:32:51.549;1;6.5701;63.29
530;14:32:52.549;1;6.5701;63.29
531;14:32:53.549;1;6.5701;63.29
532;14:32:54.549;1;6.5701;63.29
533;14:32:55.549;1;6.5701;63.29
534;14:32:56.549;1;6.5701;63.29
535;14:32:57.549;1;6.5701;63.29
536;14:32:58.549;1;6.5701;63.29
537;14:32:59.549;1;6.5701;63.29
538;14:33:00.549;1;6.5701;63.29
539;14:33:01.549;1;6.56605;63.29
540;14:33:02.549;1;6.56;63.29
541;14:33:03.549;1;6.56;63.29
542;14:33:04.549;1;6.56;63.29
543;14:33:05.549;1;6.56;63.29
544;14:33:06.549;1;6.56;63.29
545;14:33:07.549;1;6.56;63.29
546;14:33:08.549;1;6.56;63.29
547;14:33:09.549;1;6.56;63.29
548;14:33:10.549;1;6.56;63.29
549;14:33:11.549;1;6.55599;63.29
550;14:33:12.549;1;6.55;63.29
551;14:33:13.549;1;6.55;63.286
552;14:33:14.549;1;6.55;63.2801
553;14:33:15.549;1;6.55;63.2801
554;14:33:16.549;1;6.55;63.2801
555;14:33:17.549;1;6.55;63.2801
556;14:33:18.549;1;6.55;63.2801
557;14:33:19.549;1;6.55;63.2841
558;14:33:20.549;1;6.55;63.286
559;14:33:21.549;1;6.55;63.2801
560;14:33:22.549;1;6.54603;63.2841
561;14:33:23.549;1;6.5401;63.29
562;14:33:24.549;1;6.5401;63.29
563;14:33:25.549;1;6.5401;63.29
564;14:33:26.549;1;6.5401;63.286
565;14:33:27.549;1;6.5401;63.2801
566;14:33:28.549;1;6.5401;63.2841
567;14:33:29.549;1;6.5401;63.29
568;14:33:30.549;1;6.5401;63.29
569;14:33:31.549;1;6.5401;63.29
570;14:33:32.549;1;6.53608;63.29
571;14:33:33.549;1;6.5301;63.29
572;14:33:34.549;1;6.5301;63.29
573;14:33:35.549;1;6.5301;63.29
574;14:33:36.549;1;6.5301;63.29
575;14:33:37.549;1;6.5301;63.29
576;14:33:38.549;1;6.5301;63.29
577;14:33:39.549;1;6.5301;63.29
578;14:33:40.549;1;6.5301;63.286
