NI (c) Historical Data Viewer v2.0                             
Created: 04.12.2019 13:19:15.869 W. Europe Standard Time
Number of rows: 892
Interpolation interval: 1 seconds

Row;Time;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Indikator 2;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Leitfähigkeit;\\MU15EM11015\R800\MU15EM11015\R800 Analyse Prozess\Temperatur
1;12:08:50.065;1;12.01;25.1291
2;12:08:51.065;1;12.01;25.1299
3;12:08:52.065;1;12.01;25.1299
4;12:08:53.065;1;12.01;25.1392
5;12:08:54.065;1;12.01;25.14
6;12:08:55.065;1;12.01;25.14
7;12:08:56.065;1;12.01;25.1491
8;12:08:57.065;1;12.01;25.1592
9;12:08:58.065;1;12.01;25.16
10;12:08:59.065;1;12.01;25.16
11;12:09:00.065;1;12.01;25.1692
12;12:09:01.065;1;12.01;25.17
13;12:09:02.065;1;12.0009;25.17
14;12:09:03.065;1;12.0001;25.1791
15;12:09:04.065;1;12.0001;25.1799
16;12:09:05.065;1;12.0001;25.1799
17;12:09:06.065;1;12.0001;25.1892
18;12:09:07.065;1;12.0001;25.19
19;12:09:08.065;1;12.0001;25.19
20;12:09:09.065;1;12.0001;25.1991
21;12:09:10.065;1;12.0001;25.1999
22;12:09:11.065;1;12.0001;25.1999
23;12:09:12.065;1;12.0001;25.2092
24;12:09:13.065;1;12.0001;25.21
25;12:09:14.065;1;12.0092;25.21
26;12:09:15.065;1;12.0009;25.2191
27;12:09:16.065;1;12.0001;25.2199
28;12:09:17.065;1;12.0001;25.2199
29;12:09:18.065;1;12.0001;25.2292
30;12:09:19.065;1;12.0001;25.23
31;12:09:20.065;1;12.0001;25.23
32;12:09:21.065;1;12.0001;25.2391
33;12:09:22.065;1;12.0001;25.2399
34;12:09:23.065;1;12.0001;25.2399
35;12:09:24.065;1;12.0001;25.2492
36;12:09:25.065;1;12.0001;25.25
37;12:09:26.065;1;12.0001;25.25
38;12:09:27.065;1;12.0001;25.2592
39;12:09:28.065;1;12.0001;25.26
40;12:09:29.065;1;12.0001;25.26
41;12:09:30.065;1;12.0001;25.2691
42;12:09:31.065;1;12.0001;25.2699
43;12:09:32.065;1;12;25.27
44;12:09:33.065;1;12;25.27
45;12:09:34.065;1;12;25.27
46;12:09:35.065;1;12;25.2792
47;12:09:36.065;1;12;25.28
48;12:09:37.065;1;12;25.28
49;12:09:38.065;1;12;25.28
50;12:09:39.065;1;12;25.2891
51;12:09:40.065;1;12;25.2899
52;12:09:41.065;1;12;25.2899
53;12:09:42.065;1;12;25.2992
54;12:09:43.065;1;12;25.3
55;12:09:44.065;1;12;25.3
56;12:09:45.065;1;12;25.3
57;12:09:46.065;1;12;25.3
58;12:09:47.065;1;11.9173;25.3091
59;12:09:48.065;1;11.8825;25.3099
60;12:09:49.065;1;11.8801;25.3099
